No,D,We,Cc,Cp,S,Mc,T,Ac,Di,L,A,V,M,De,qu
1.0,2.0,1.93,1.0,7.0,1.0,1.9,1.0,150.0,5.0,10.0,19.63,196.35,379.8,1.93,1707.95
2.0,2.0,1.93,2.0,7.0,1.0,1.93,2.0,200.0,5.0,10.0,19.37,193.74,342.2,1.77,4018.33
3.0,4.0,1.72,2.0,28.0,2.0,1.72,3.0,200.0,5.0,10.0,19.48,194.78,278.0,1.43,2336.29
4.0,2.0,1.93,1.0,28.0,1.0,1.96,1.0,100.0,5.0,10.0,19.63,196.35,381.4,1.94,1836.64
5.0,4.0,1.72,2.0,7.0,2.0,1.72,3.0,150.0,5.0,10.0,19.32,193.22,309.0,1.6,1383.56
6.0,2.0,1.93,1.0,7.0,1.0,1.93,1.0,200.0,5.0,10.0,19.63,196.35,377.2,1.92,1976.48
7.0,4.0,1.76,2.0,28.0,3.0,1.76,2.0,200.0,5.0,10.0,19.45,194.52,274.2,1.41,3147.3
8.0,2.0,1.93,2.0,28.0,1.0,1.9,2.0,200.0,4.9,10.0,19.17,191.67,324.2,1.69,4922.67
9.0,2.0,1.93,1.0,7.0,1.0,1.96,2.0,100.0,5.0,10.0,19.63,196.35,375.2,1.91,791.39
10.0,2.0,1.93,2.0,28.0,1.0,1.96,3.0,100.0,4.9,10.0,19.01,190.12,300.0,1.58,1118.24
11.0,4.0,1.72,2.0,7.0,2.0,1.72,3.0,200.0,5.0,10.0,19.58,195.83,313.6,1.6,1475.3
12.0,4.0,1.76,1.0,28.0,3.0,1.76,1.0,150.0,5.0,10.0,19.63,196.35,349.2,1.78,1363.25
13.0,4.0,1.72,1.0,7.0,2.0,1.72,1.0,150.0,5.0,10.0,19.63,196.35,346.4,1.76,805.39
14.0,2.0,1.93,1.0,7.0,1.0,1.93,2.0,150.0,5.0,10.0,19.63,196.35,375.4,1.91,1422.7
15.0,2.0,1.93,1.0,28.0,1.0,1.9,3.0,100.0,5.0,10.0,19.63,196.35,379.0,1.93,695.1
16.0,2.0,1.93,1.0,28.0,1.0,1.93,3.0,100.0,5.0,10.0,19.63,196.35,380.4,1.94,755.31
17.0,2.0,1.93,1.0,7.0,1.0,1.9,2.0,100.0,5.0,10.0,19.63,196.35,379.0,1.93,1158.82
18.0,2.0,1.93,2.0,7.0,1.0,1.96,3.0,100.0,5.0,10.0,19.48,194.78,331.0,1.7,1289.44
19.0,4.0,1.72,1.0,28.0,2.0,1.72,2.0,100.0,5.0,10.0,19.63,196.35,354.6,1.81,449.55
20.0,2.0,1.93,1.0,7.0,1.0,1.9,2.0,150.0,5.0,10.0,19.63,196.35,382.4,1.95,1799.0
21.0,4.0,1.72,1.0,28.0,2.0,1.72,1.0,150.0,5.0,10.0,19.63,196.35,355.8,1.81,1105.88
22.0,2.0,1.93,2.0,7.0,1.0,1.93,1.0,200.0,5.0,10.0,19.43,194.26,346.0,1.78,4099.15
23.0,2.0,1.93,1.0,28.0,1.0,1.96,1.0,200.0,5.0,10.0,19.63,196.35,379.6,1.93,2596.24
24.0,2.0,1.93,1.0,28.0,1.0,1.93,2.0,200.0,5.0,10.0,19.63,196.35,382.4,1.95,2619.07
25.0,4.0,1.72,2.0,7.0,2.0,1.72,1.0,100.0,4.9,10.0,19.17,191.67,311.4,1.62,900.82
26.0,4.0,1.76,2.0,28.0,3.0,1.76,2.0,150.0,5.0,10.0,19.32,193.22,267.8,1.39,2238.02
27.0,2.0,1.93,1.0,28.0,1.0,1.9,2.0,150.0,5.0,10.0,19.63,196.35,382.8,1.95,2734.99
28.0,4.0,1.76,1.0,7.0,3.0,1.76,1.0,100.0,5.0,10.0,19.45,194.52,333.8,1.72,498.2
29.0,4.0,1.76,2.0,7.0,3.0,1.76,3.0,150.0,5.0,10.0,19.43,194.26,310.4,1.6,1995.69
30.0,2.0,1.93,1.0,28.0,1.0,1.9,2.0,100.0,5.0,10.0,19.63,196.35,378.2,1.93,1883.47
31.0,2.0,1.93,1.0,28.0,1.0,1.96,3.0,100.0,5.0,10.0,19.63,196.35,376.2,1.92,499.66
32.0,4.0,1.76,2.0,7.0,3.0,1.76,3.0,200.0,5.0,10.0,19.48,194.78,313.4,1.61,2305.96
33.0,4.0,1.76,2.0,28.0,3.0,1.76,3.0,150.0,4.9,10.0,19.06,190.63,262.4,1.38,1909.18
34.0,2.0,1.93,2.0,28.0,1.0,1.93,1.0,150.0,5.0,10.0,19.3,192.96,311.2,1.61,4595.34
35.0,2.0,1.93,1.0,28.0,1.0,1.96,1.0,150.0,5.0,10.0,19.63,196.35,377.2,1.92,1936.14
36.0,4.0,1.76,2.0,28.0,3.0,1.76,1.0,100.0,4.9,10.0,18.86,188.57,255.6,1.36,713.58
37.0,2.0,1.93,1.0,7.0,1.0,1.96,1.0,200.0,5.0,10.0,19.53,195.3,376.8,1.93,1316.62
38.0,2.0,1.93,1.0,28.0,1.0,1.9,2.0,200.0,5.0,10.0,19.63,196.35,382.4,1.95,3076.98
39.0,4.0,1.72,2.0,28.0,2.0,1.72,2.0,100.0,4.9,10.0,18.93,189.34,257.8,1.36,687.38
40.0,4.0,1.72,1.0,28.0,2.0,1.72,2.0,150.0,5.0,10.0,19.63,196.35,350.6,1.79,710.01
41.0,4.0,1.72,1.0,28.0,2.0,1.72,1.0,200.0,5.0,10.0,19.63,196.35,355.4,1.81,1690.15
42.0,4.0,1.76,1.0,28.0,3.0,1.76,3.0,100.0,5.0,10.0,19.63,196.35,346.6,1.77,605.68
43.0,2.0,1.93,1.0,7.0,1.0,1.96,2.0,200.0,5.0,10.0,19.63,196.35,384.4,1.96,1744.79
44.0,2.0,1.93,1.0,28.0,1.0,1.96,3.0,200.0,5.0,10.0,19.63,196.35,383.4,1.95,2705.26
45.0,4.0,1.72,2.0,7.0,2.0,1.72,2.0,100.0,5.0,10.0,19.43,194.26,298.2,1.54,660.47
46.0,2.0,1.93,1.0,7.0,1.0,1.9,2.0,200.0,5.0,10.0,19.63,196.35,385.8,1.96,1992.59
47.0,2.0,1.93,2.0,28.0,1.0,1.96,2.0,100.0,5.0,10.0,19.22,192.18,301.6,1.57,2725.33
48.0,2.0,1.93,2.0,28.0,1.0,1.93,2.0,200.0,5.0,10.0,19.4,194.0,317.8,1.64,4143.8
49.0,2.0,1.93,1.0,28.0,1.0,1.93,3.0,150.0,5.0,10.0,19.63,196.35,380.2,1.94,2396.77
50.0,2.0,1.93,2.0,7.0,1.0,1.93,3.0,150.0,5.0,10.0,19.32,193.22,356.0,1.84,3197.18
51.0,4.0,1.72,2.0,7.0,2.0,1.72,3.0,200.0,5.0,10.0,19.48,194.78,313.4,1.61,2305.96
52.0,4.0,1.76,2.0,7.0,3.0,1.76,1.0,150.0,5.0,10.0,19.45,194.52,324.8,1.67,1223.71
53.0,2.0,1.93,2.0,28.0,1.0,1.9,1.0,200.0,5.0,10.0,19.3,192.96,319.6,1.66,5129.83
54.0,2.0,1.93,2.0,28.0,1.0,1.93,3.0,150.0,5.0,10.0,19.3,192.96,311.0,1.61,4864.9
55.0,4.0,1.76,1.0,28.0,3.0,1.76,2.0,150.0,5.0,10.0,19.63,196.35,352.8,1.8,1352.47
56.0,4.0,1.72,2.0,7.0,2.0,1.72,3.0,150.0,5.0,10.0,19.43,194.26,313.8,1.62,1067.63
57.0,2.0,1.93,2.0,28.0,1.0,1.96,3.0,150.0,4.9,10.0,19.11,191.15,309.6,1.62,4085.39
58.0,4.0,1.76,2.0,28.0,3.0,1.76,3.0,200.0,5.0,10.0,19.24,192.44,275.6,1.43,3856.02
59.0,4.0,1.72,2.0,7.0,2.0,1.72,2.0,150.0,5.0,10.0,19.63,196.35,301.4,1.54,998.22
60.0,4.0,1.72,2.0,28.0,2.0,1.72,2.0,200.0,5.0,10.0,19.45,194.52,275.4,1.42,2080.09
61.0,4.0,1.72,2.0,7.0,2.0,1.72,2.0,200.0,5.0,10.0,19.69,196.87,303.2,1.54,1889.58
62.0,2.0,1.93,1.0,7.0,1.0,1.93,3.0,200.0,5.0,10.0,19.63,196.35,377.6,1.92,1702.19
63.0,4.0,1.72,2.0,28.0,2.0,1.72,3.0,200.0,5.0,10.0,19.32,193.22,277.8,1.44,2481.45
64.0,2.0,1.93,2.0,7.0,1.0,1.9,1.0,200.0,5.0,10.0,19.19,191.92,346.6,1.81,4149.05
65.0,2.0,1.93,1.0,7.0,1.0,1.93,1.0,100.0,5.0,10.0,19.63,196.35,376.2,1.92,1192.32
66.0,2.0,1.93,1.0,28.0,1.0,1.96,3.0,150.0,5.0,10.0,19.63,196.35,380.2,1.94,1982.46
67.0,2.0,1.93,1.0,28.0,1.0,1.96,2.0,100.0,5.0,10.0,19.63,196.35,376.0,1.91,1215.35
68.0,4.0,1.76,1.0,7.0,3.0,1.76,2.0,150.0,5.0,10.0,19.63,196.35,350.0,1.78,754.49
69.0,2.0,1.93,1.0,28.0,1.0,1.93,3.0,200.0,5.0,10.0,19.63,196.35,380.4,1.94,2470.45
70.0,2.0,1.93,2.0,28.0,1.0,1.96,1.0,200.0,5.0,10.0,19.43,194.26,315.6,1.62,3906.32
71.0,4.0,1.72,1.0,28.0,2.0,1.72,3.0,100.0,5.0,10.0,19.63,196.35,341.6,1.74,568.93
72.0,4.0,1.72,1.0,28.0,2.0,1.72,2.0,100.0,5.0,10.0,19.63,196.35,350.6,1.79,418.33
73.0,4.0,1.72,1.0,7.0,2.0,1.72,3.0,100.0,5.0,10.0,19.63,196.35,342.0,1.74,298.24
74.0,4.0,1.72,1.0,28.0,2.0,1.72,2.0,200.0,5.0,10.0,19.63,196.35,354.6,1.81,1232.07
75.0,4.0,1.72,2.0,7.0,2.0,1.72,2.0,150.0,5.0,10.0,19.63,196.35,311.0,1.58,1103.77
76.0,4.0,1.72,2.0,7.0,2.0,1.72,1.0,150.0,5.0,10.0,19.53,195.3,322.2,1.65,1193.45
77.0,2.0,1.93,2.0,28.0,1.0,1.9,3.0,150.0,4.9,10.0,19.11,191.15,312.4,1.63,3882.56
78.0,2.0,1.93,2.0,7.0,1.0,1.93,3.0,100.0,5.0,10.0,19.32,193.22,343.0,1.78,1562.15
79.0,4.0,1.72,2.0,7.0,2.0,1.72,3.0,100.0,5.0,10.0,19.27,192.7,282.2,1.46,990.67
80.0,4.0,1.72,2.0,28.0,2.0,1.72,2.0,200.0,5.0,10.0,19.4,194.0,276.4,1.42,2221.06
81.0,4.0,1.76,1.0,7.0,3.0,1.76,2.0,200.0,5.0,10.0,19.63,196.35,355.4,1.81,1138.63
82.0,2.0,1.93,2.0,28.0,1.0,1.93,3.0,100.0,5.0,10.0,19.24,192.44,305.8,1.59,1560.77
83.0,2.0,1.93,2.0,28.0,1.0,1.93,2.0,150.0,5.0,10.0,19.24,192.44,305.2,1.59,4363.29
84.0,4.0,1.72,2.0,7.0,2.0,1.72,1.0,200.0,5.0,10.0,19.74,197.4,312.0,1.58,1621.66
85.0,2.0,1.93,2.0,7.0,1.0,1.93,1.0,100.0,5.0,10.0,19.27,192.7,336.6,1.75,1857.65
86.0,4.0,1.72,1.0,28.0,2.0,1.72,2.0,200.0,5.0,10.0,19.63,196.35,358.0,1.82,1393.78
87.0,4.0,1.72,1.0,7.0,2.0,1.72,1.0,200.0,5.0,10.0,19.63,196.35,349.4,1.78,1311.0
88.0,4.0,1.76,1.0,7.0,3.0,1.76,3.0,150.0,5.0,10.0,19.63,196.35,342.2,1.74,765.61
89.0,2.0,1.93,2.0,7.0,1.0,1.93,2.0,100.0,5.0,10.0,19.35,193.48,337.8,1.75,3019.78
90.0,2.0,1.93,2.0,28.0,1.0,1.9,2.0,150.0,4.9,10.0,19.01,190.12,318.0,1.67,4785.22
91.0,4.0,1.72,1.0,28.0,2.0,1.72,3.0,200.0,5.0,10.0,19.63,196.35,357.8,1.82,1642.09
92.0,4.0,1.72,2.0,7.0,2.0,1.72,1.0,100.0,5.0,10.0,19.37,193.74,293.0,1.51,807.75
93.0,2.0,1.93,1.0,7.0,1.0,1.96,3.0,150.0,5.0,10.0,19.63,196.35,379.0,1.93,1648.09
94.0,2.0,1.93,2.0,7.0,1.0,1.96,1.0,200.0,5.0,10.0,19.45,194.52,345.4,1.78,2821.29
95.0,2.0,1.93,1.0,28.0,1.0,1.93,1.0,150.0,5.0,10.0,19.63,196.35,379.6,1.93,2454.92
96.0,2.0,1.93,2.0,7.0,1.0,1.93,3.0,200.0,5.0,10.0,19.48,194.78,351.4,1.8,3222.19
97.0,4.0,1.72,2.0,7.0,2.0,1.72,2.0,200.0,5.0,10.0,19.66,196.61,294.8,1.5,1907.62
98.0,4.0,1.72,1.0,7.0,2.0,1.72,3.0,150.0,5.0,10.0,19.63,196.35,346.6,1.77,615.01
99.0,2.0,1.93,2.0,7.0,1.0,1.9,3.0,100.0,5.0,10.0,19.32,193.22,343.0,1.78,1443.71
100.0,2.0,1.93,2.0,7.0,1.0,1.96,2.0,150.0,5.0,10.0,19.35,193.48,337.2,1.74,3117.79
